,HospitalId,lat,lon
1035,1035,40.7499506,-73.9730373
1036,1036,40.7460138,-73.97164959999998
1037,1037,40.7508018,-73.9710763
1038,1038,40.747293799999994,-73.97493490000001
1040,1040,40.7485389,-73.976428
1041,1041,40.7466946,-73.97220920000001
1042,1042,40.7484683,-73.9772785
1043,1043,40.7468516,-73.97222529999998
1044,1044,40.747371,-73.974769
1045,1045,40.7472826,-73.97490590000002
1046,1046,40.7472939,-73.97493490000001
1051,1051,40.746442,-73.97293020000001
1052,1052,40.7493332,-73.97407259999999
1053,1053,40.749823,-73.972205
1054,1054,40.750305700000006,-73.9743541
1098,1098,40.738087,-73.984785
1099,1099,40.7392167,-73.980166
1101,1101,40.7379477,-73.9782152
1102,1102,40.7372097,-73.97983020000001
1103,1103,40.7413262,-73.978939
1112,1112,40.6994908,-73.94273989999998
1113,1113,40.7008259,-73.9424803
1117,1117,40.7008062,-73.9424997
1119,1119,40.702479600000004,-73.9421588
1136,1136,40.6953842,-73.9765281
1137,1137,40.6950751,-73.97656040000001
1151,1151,40.7742262,-73.9137994
1152,1152,40.774143,-73.9137095
1153,1153,40.774387899999994,-73.91059920000001
1154,1154,40.772395,-73.92150699999998
1155,1155,40.75139739999999,-73.93520059999999
1156,1156,40.7509344,-73.9393073
1157,1157,40.75314669999999,-73.9325418
1159,1159,40.7511173,-73.93983680000002
1160,1160,40.7531066,-73.93507220000001
1164,1164,40.740209,-73.9870203
1179,1179,40.742901200000006,-73.98413819999998
1187,1187,40.7697347,-73.9530882
1198,1198,40.765165,-73.9528196
1199,1199,40.76503690000001,-73.95255
1202,1202,40.7665625,-73.9523327
1204,1204,40.756260100000006,-73.9629144
1206,1206,40.75815269999999,-73.96530229999998
1207,1207,40.758169,-73.965234
1233,1233,40.690377000000005,-73.9954181
1235,1235,40.6895568,-73.99654679999998
1243,1243,40.6904398,-73.9970518
1244,1244,40.689935399999996,-73.99718539999998
1270,1270,40.6675293,-73.99010419999998
1271,1271,40.67290759999999,-73.98616489999998
1272,1272,40.6722015,-73.98658909999999
1273,1273,40.66743269999999,-73.99023170000001
1274,1274,40.7453507,-73.9516283
1275,1275,40.7444461,-73.95430449999998
1277,1277,40.6848851,-73.9789507
1281,1281,40.7922656,-73.94451059999999
1302,1302,40.736942799999994,-73.9811552
1303,1303,40.736658500000004,-73.9805415
1307,1307,40.713190000000004,-73.987808
1330,1330,40.75120689999999,-73.9835879
1342,1342,40.7854716,-73.97802159999998
1345,1345,40.7901119,-73.9761685
