,SubwayStationId,lat,lon
76,76,40.7686869,-73.9584429
77,77,40.76787410000001,-73.9638866
78,78,40.7560445,-73.98778329999998
79,79,40.75455629999999,-73.98667370000001
80,80,40.755861100000004,-73.987061
81,81,40.7562813,-73.9873942
82,82,40.75483679999999,-73.9841215
83,83,40.75713869999999,-73.9898439
84,84,40.75382099999999,-73.98196300000001
85,85,40.7257799,-74.00395209999998
89,89,40.7397407,-74.00280390000002
90,90,40.7382109,-73.99992340000001
92,92,40.7459544,-73.9979973
94,94,40.744081,-73.995657
96,96,40.777733000000005,-73.9511339
98,98,40.74122390000001,-73.9980319
99,99,40.7413626,-73.9891335
100,100,40.7465183,-73.98179559999998
102,102,40.7452998,-73.9887365
103,103,40.7348024,-73.990753
104,104,40.7373653,-73.99684529999998
106,106,40.7131115,-74.0040466
116,116,40.776265,-73.97590199999998
123,123,40.68985339999999,-73.9516398
124,124,40.69546709999999,-73.9492203
125,125,40.7238944,-73.9506777
126,126,40.760216299999996,-73.975543
127,127,40.757135,-73.97191190000001
128,128,40.757698100000006,-73.96907420000001
134,134,40.808043,-73.9639122
135,135,40.679331299999994,-73.9954833
136,136,40.6746048,-73.99703970000002
139,139,40.7628619,-73.96773509999998
140,140,40.7628581,-73.9676762
141,141,40.713750899999994,-73.95177240000001
142,142,40.7084911,-73.95785529999998
149,149,40.683498900000004,-73.9668944
151,151,40.6668935,-73.9815816
152,152,40.670415399999996,-73.9884716
154,154,40.6924266,-73.99016089999998
155,155,40.693909999999995,-73.99046609999998
158,158,40.694349100000004,-73.9926155
167,167,40.7795016,-73.95557240000001
168,168,40.7242266,-73.99775509999998
169,169,40.719514700000005,-74.00178570000001
170,170,40.7213785,-74.0052485
171,171,40.722713899999995,-74.00630600000001
172,172,40.71843429999999,-74.0005329
173,173,40.722325299999994,-73.99712439999998
174,174,40.717847,-74.00024839999998
175,175,40.7190056,-74.0066801
177,177,40.7301618,-73.9540458
180,180,40.723412700000004,-73.9902885
181,181,40.7259346,-73.9946724
182,182,40.7254393,-73.9955502
187,187,40.7431333,-73.984225
213,213,40.7761177,-73.9528715
214,214,40.7736346,-73.95982939999998
224,224,40.6972672,-73.9358171
225,225,40.7002958,-73.94116439999998
230,230,40.7070097,-74.01078309999998
231,231,40.707649200000006,-74.0117507
239,239,40.686083200000006,-73.9909074
241,241,40.7948191,-73.9444103
242,242,40.798737599999995,-73.9522934
250,250,40.6771729,-73.98324670000001
259,259,40.702161,-74.0127837
260,260,40.70172939999999,-74.0129572
261,261,40.7048108,-74.0144596
263,263,40.714402899999996,-73.98991880000001
265,265,40.811565,-73.952022
277,277,40.671993799999996,-73.96420649999999
278,278,40.674735999999996,-73.95785179999999
280,280,40.6701803,-73.98929150000002
288,288,40.6811176,-73.9556735
289,289,40.791667100000005,-73.9650128
311,311,40.6858335,-73.9727758
313,313,40.686005200000004,-73.9733163
314,314,40.6880915,-73.96754990000001
320,320,40.7068229,-73.95342699999998
322,322,40.764069799999994,-73.97723570000001
351,351,40.7704684,-73.9175448
352,352,40.77501489999999,-73.9120873
353,353,40.752689700000005,-73.9328056
354,354,40.750592,-73.9402066
355,355,40.748935900000006,-73.93736949999999
357,357,40.7520453,-73.9289557
359,359,40.740029699999994,-73.98650140000001
376,376,40.7426713,-73.9537248
377,377,40.6834617,-73.9765824
379,379,40.6837598,-73.97875739999998
380,380,40.687096999999994,-73.9755642
386,386,40.7986377,-73.9416325
404,404,40.788334000000006,-73.97653629999998
420,420,40.67937379999999,-73.9306335
421,421,40.7941912,-73.9721368
423,423,40.7077716,-73.93986329999998
428,428,40.78405249999999,-73.9800738
431,431,40.7962859,-73.961648
476,476,40.748050799999994,-73.94704779999998
477,477,40.746925899999994,-73.94531459999999
478,478,40.74627359999999,-73.94571719999998
487,487,40.8020426,-73.9496723
505,505,40.768652100000004,-73.9814538
506,506,40.7687804,-73.98211540000001
513,513,40.67068199999999,-73.95813100000001
514,514,40.67057380000001,-73.9581788
516,516,40.75216470000001,-73.97715339999998
529,529,40.8077876,-73.9454927
530,530,40.81411960000001,-73.9408854
543,543,40.76692269999999,-73.92139619999998
545,545,40.7541288,-73.9423432
550,550,40.68040560000001,-73.94957219999998
551,551,40.6807189,-73.9558325
558,558,40.688873,-73.96007
581,581,40.758663,-73.98133100000001
589,589,40.7445586,-73.9312333
602,602,40.6997972,-73.95005809999998
605,605,40.668158500000004,-73.95065859999998
606,606,40.669847,-73.95046599999998
613,613,40.7566195,-73.9296478
617,617,40.7039504,-73.94738199999998
728,728,40.8157234,-73.9581998
