,lat,lng
206,40.6744079,-73.9757661
207,40.67534099999999,-73.97838
208,40.6744574,-73.97693029999999
209,40.677119,-73.977547
210,40.67647669999999,-73.9746158
211,40.67880889999999,-73.9767367
212,40.67616829999999,-73.9697621
213,40.67447,-73.976927
214,40.6786944,-73.976291
215,40.679163,-73.9761808
216,40.67890149999999,-73.97658059999999
217,40.6780638,-73.9791857
218,40.6741382,-73.9721612
219,40.67597320000001,-73.9689963
220,40.805584,-73.93548390000001
221,40.80594929999999,-73.94069069999999
222,40.80649309999999,-73.9427934
223,40.8025896,-73.9433766
224,40.807647,-73.937731
225,40.8056551,-73.9354597
226,40.805584,-73.93548390000001
227,40.805932,-73.9407446
228,40.807763,-73.93995699999999
229,40.8068725,-73.9440396
230,40.8069921,-73.9386038
231,40.8010575,-73.93815
232,40.80611789999999,-73.94087200000001
233,40.8065706,-73.944062
234,40.80079509999999,-73.93932319999999
235,40.80694440000001,-73.9359547
236,40.8025088,-73.94237050000001
237,40.8009638,-73.93961700000001
238,40.8069921,-73.9386038
239,40.80706259999999,-73.9388294
240,40.799416,-73.96793699999999
241,40.80379719999999,-73.9662665
242,40.79713090000001,-73.96678320000001
243,40.799179,-73.965156
244,40.80287999999999,-73.9661354
245,40.80267799999999,-73.96594999999999
246,40.8019255,-73.9628267
247,40.7996825,-73.9632276
248,40.8022114,-73.9661076
249,40.8010639,-73.964512
250,40.8021572,-73.9661649
251,40.8036097,-73.9659047
252,40.80291200000001,-73.968942
253,40.80060170000001,-73.9629214
254,40.7996688,-73.97032159999999
255,40.800897,-73.969492
256,40.7999417,-73.97085160000002
257,40.7997998,-73.9656592
258,40.79935080000001,-73.9676903
259,40.7982465,-73.9687981
260,40.71481369999999,-73.9633052
261,40.7169403,-73.96468270000001
262,40.7154923,-73.9550398
263,40.7112815,-73.9607338
264,40.7180348,-73.96373559999999
265,40.715345,-73.9547924
266,40.71460099999999,-73.962113
267,40.71549030000001,-73.96552849999999
268,40.7162857,-73.95838979999999
269,40.7116813,-73.9597817
270,40.7152099,-73.95699139999999
271,40.7154197,-73.9549291
272,40.715305,-73.9569941
273,40.7116813,-73.9597817
274,40.7187046,-73.9611783
275,40.713481,-73.957332
276,40.7117916,-73.9602371
277,40.7163855,-73.9575194
278,40.71491249999999,-73.9634611
279,40.7130574,-73.95863299999999
280,40.7529737,-73.99253329999999
281,40.7533516,-73.99061080000001
282,40.75297399999999,-73.992533
283,40.7488823,-73.9864731
284,40.75270400000001,-73.993479
285,40.7483361,-73.99157869999999
286,40.75297399999999,-73.992533
287,40.753645,-73.99193410000001
288,40.7535985,-73.9919802
289,40.7474694,-73.9927921
290,40.753645,-73.99193410000001
291,40.7474253,-73.9929049
292,40.753645,-73.99193410000001
293,40.753645,-73.99193410000001
294,40.7494549,-73.9942662
295,40.7474253,-73.9929049
296,40.74691379999999,-73.9930577
297,40.753615,-73.9920415
298,40.7529737,-73.99253329999999
299,40.75366,-73.9919099
300,40.7078278,-74.0056597
301,40.7069615,-74.0097684
302,40.7077667,-74.0025206
303,40.7110565,-74.0053612
304,40.7049028,-74.0064172
305,40.709313,-74.0062963
306,40.7054169,-74.0074855
307,40.70775760000001,-74.0097205
308,40.707359,-74.006962
309,40.7098108,-74.00536819999999
310,40.709755,-74.007267
311,40.7104898,-74.0078174
312,40.70913269999999,-74.00465849999999
313,40.7108841,-74.0056101
314,40.70778380000001,-74.0024988
315,40.708127,-74.0059783
316,40.7081429,-74.0068412
317,40.709313,-74.0062963
318,40.7076996,-74.0026583
319,40.7067018,-74.00644550000001
320,40.77375869999999,-73.98282859999999
321,40.7747793,-73.98472000000001
322,40.7751238,-73.9829707
323,40.7747793,-73.98472000000001
324,40.7739911,-73.97916920000002
325,40.77419599999999,-73.979433
326,40.7780531,-73.9853639
327,40.7747793,-73.98472000000001
328,40.772534,-73.98038199999999
329,40.7757359,-73.984006
330,40.7748991,-73.9856157
331,40.7747793,-73.98472000000001
332,40.77776610000001,-73.9847365
333,40.7779517,-73.98470259999999
334,40.7748991,-73.9856157
335,40.7781173,-73.979766
336,40.7748991,-73.9856156
337,40.778151,-73.979834
338,40.7752064,-73.9831573
339,40.7708759,-73.9802599
340,40.70974229999999,-73.9445006
341,40.71022809999999,-73.9438471
342,40.70976459999999,-73.9445188
343,40.70715939999999,-73.9438299
344,40.70693440000001,-73.94504069999999
345,40.7107336,-73.9470377
346,40.7071443,-73.9472562
347,40.711677,-73.9457876
348,40.71025649999999,-73.94919039999999
349,40.7128415,-73.9480437
350,40.7113257,-73.94918919999999
351,40.7097646,-73.94451889999999
352,40.7097782,-73.9441904
353,40.70858870000001,-73.94338909999999
354,40.7066091,-73.9442462
355,40.71427899999999,-73.949268
356,40.70807990000001,-73.94479450000001
357,40.7100087,-73.9473021
358,40.71004789999999,-73.9475777
359,40.7097646,-73.94451889999999
360,40.765039,-73.9692663
361,40.76382600000001,-73.9703237
362,40.7655359,-73.9717307
363,40.7634653,-73.96873719999999
364,40.76484430000001,-73.975043
365,40.7638704,-73.9695667
366,40.76871,-73.966524
367,40.768648,-73.966557
368,40.7659499,-73.968654
369,40.7638132,-73.9703952
370,40.76799219999999,-73.9679232
371,40.7635651,-73.9707505
372,40.7620349,-73.97101169999999
373,40.7645805,-73.9711952
374,40.7672472,-73.96650819999999
375,40.7623737,-73.97391189999999
376,40.764312,-73.9763299
377,40.7644663,-73.97646390000001
378,40.7635843,-73.9723967
379,40.765891,-73.9773822
380,40.76417669999999,-73.9833744
381,40.764258,-73.98331
382,40.76424519999999,-73.983522
383,40.76150899999999,-73.98147300000001
384,40.7642437,-73.9797431
385,40.7660538,-73.98592959999999
386,40.76282700000001,-73.987646
387,40.7639856,-73.9903637
388,40.7657883,-73.98953019999999
389,40.766259,-73.98028599999999
390,40.7640811,-73.9814897
391,40.7647479,-73.98272759999999
392,40.7640485,-73.9859469
393,40.76628799999999,-73.9825185
394,40.76399929999999,-73.9908346
395,40.76069400000001,-73.984893
396,40.7639937,-73.9904866
397,40.764372,-73.98337099999999
398,40.7615351,-73.9886547
399,40.767345,-73.983707
400,40.7325862,-74.0067037
